號次,名字,政黨,景行里,景東里,景美里,景慶里,景仁里,景華里,萬有里,萬祥里,萬隆里,萬年里,萬和里,萬盛里,興豐里,興光里,興家里,興得里,興業里,興安里,興福里,興旺里,興泰里,興昌里,試院里,華興里,明義里,明興里,木柵里,木新里,順興里,樟林里,樟新里,樟腳里,萬芳里,博嘉里,萬興里,指南里,老泉里,忠順里,萬美里,政大里,樟文里,興邦里,樟樹里
1,劉佩玲,台灣維新,19,29,20,17,21,17,7,14,12,26,12,14,8,12,25,24,16,17,26,35,11,21,28,46,34,28,30,29,24,21,25,16,24,20,30,12,2,9,27,18,26,18,19
2,賴士葆,中國國民黨,1822,2134,1378,1686,1712,1581,1561,1206,2147,1430,1218,1402,1435,1099,2351,1782,1713,2123,1499,2511,1220,1951,2141,2630,1068,2035,3125,2405,2046,2468,1604,1485,2341,1583,2252,999,178,1428,2075,2146,1711,1696,1270
3,王閔生,民主進步黨,1783,1262,1110,1337,1128,1146,1249,999,1392,1145,540,932,1039,750,1283,1146,895,1238,1167,1398,823,1163,1260,1742,698,1230,1682,2034,1577,1573,999,1165,1377,1241,1752,941,283,777,1281,1478,1321,816,949
4,賴宣任,小民參政歐巴桑聯盟,160,127,103,131,135,110,96,90,125,116,64,104,92,73,166,116,115,139,120,175,96,118,142,155,83,147,203,176,125,160,120,88,192,110,158,98,11,64,144,176,104,82,98
5,夏萬浪,無黨籍及未經政黨推薦,10,9,8,9,5,6,16,4,12,7,3,10,9,5,10,21,7,8,14,8,6,11,10,11,3,8,9,10,9,10,4,6,11,13,12,6,0,8,14,19,7,7,8
6,張其祿,台灣民眾黨,776,669,427,570,485,516,487,410,644,508,295,430,446,420,693,634,509,628,515,891,453,604,686,798,385,678,854,788,710,770,538,523,740,474,788,388,48,399,639,752,531,496,448
7,張維學,無黨籍及未經政黨推薦,1,2,3,5,4,2,1,7,5,3,1,3,2,4,5,2,2,2,2,4,2,4,5,8,1,8,5,6,4,5,1,4,7,5,9,2,0,3,2,6,8,3,2
8,胡之壯,興中同盟會,3,4,5,2,4,2,2,3,3,3,2,5,0,2,2,3,2,1,2,3,0,0,6,2,1,6,6,4,1,5,2,1,3,2,5,2,0,2,3,6,1,5,2
0,選舉人數,-,6126,5690,4155,5123,4647,4572,4472,3639,5738,4357,2831,3918,4043,3265,6028,5031,4376,5502,4446,6723,3429,5377,5542,7220,3262,5588,7849,8545,5927,6869,4419,4471,6394,4808,6754,3380,719,3519,5918,6129,4971,4168,3745
