號次,名字,政黨,東池村,魚池村,中明村,新城村,大林村,東光村,共和村,大雁村,五城村,水社村,頭社村,武登村,日月村,新城村、共和村
1,馬文君,中國國民黨,551,676,344,434,321,407,206,195,260,329,275,197,238,185
2,許文忠,勞動黨,28,26,23,21,12,35,9,11,9,21,8,4,12,7
3,蔡銘軒,民主進步黨,345,449,211,362,304,291,123,160,162,140,220,99,136,125
4,李圓恩,小民參政歐巴桑聯盟,17,19,11,8,8,3,2,8,4,13,13,7,4,4
5,林金潭,無黨籍及未經政黨推薦,10,10,3,7,6,7,3,3,2,12,3,2,1,9
0,選舉人數,-,1495,1813,908,1252,1010,1167,476,595,653,759,854,522,559,515
