號次,名字,政黨,慈祐里_1_2_3_4_5,慈祐里_6_7_8_9_17,慈祐里_10_15_16_22,慈祐里_11_12_13_14,慈祐里_18_19_20_21,吉祥里_1_2_3_4,吉祥里_5_6_7_8_12,吉祥里_9_10_13_14_15,吉祥里_11_17_18,吉祥里_16_19_20_22_27,吉祥里_21_23_24_25_26,新聚里_1_3_4_5_6_7_8,新聚里_9_13_14_15_16_19,新聚里_18_20_24_25_26,新聚里_2_11_17_27_28_29_30,新聚里_10_12_21_22_23,復盛里_1_2_3_4_5_6,復盛里_7_8_9_10_11_12_13_14,復盛里_15_16_17_18_19_20_21,復盛里_22_23_24_25_26,中正里_1_2_3_4,中正里_5_6_7_8_9_10_11,中正里_12_13_14_15_16_17_18,中正里_19_20_21_22_23,中正里_24_25_26_27_28,中正里_29_30_31_32_33_34,中崙里_1_5_6_7_8,中崙里_9_10_11_13_14_15,中崙里_2_3_4_12_16_17_18,美仁里_1_2_3_4,美仁里_5_6_10,美仁里_7_8_9_11,吉仁里_1_2_3_4_5_16,吉仁里_6_7_8_9_10,吉仁里_11_12_13_14_15,敦化里_1_3_4_5_6_7_8_15,敦化里_2_9_10_11_12_13_22_23,敦化里_14_17_18_19_20_21_29_30,敦化里_16_24_25_26_27_28,復源里_1_2_5_11_12_13_14,復源里_3_4_6_7_8_9_10,復建里_1_2_5_7_8_9,復建里_6_10_13_14,復建里_3_4_11_12,復勢里_1_2_3_4_5_6,復勢里_7_8_9_10_11,復勢里_12_13_14_15,復勢里_16_17_18_19_20_21,福成里_1_2_3_4_5,福成里_6_7_8_9_10
1,李承龍,中華愛國同心黨,2,4,1,1,4,2,2,2,0,1,1,1,0,1,0,1,2,1,1,2,0,2,1,2,0,1,2,1,0,0,1,0,2,0,0,0,4,3,3,2,0,3,0,0,3,1,2,2,3,1
2,徐巧芯,中國國民黨,494,356,425,310,422,407,448,397,477,417,449,514,474,509,453,487,582,515,523,400,463,431,453,406,374,455,397,418,451,280,355,341,358,405,363,479,516,511,500,532,505,585,573,259,427,417,466,505,414,350
3,羅丹,台灣維新,7,8,8,4,7,7,4,4,5,5,3,6,8,5,7,9,6,5,10,1,0,6,6,4,5,7,3,0,3,4,8,6,1,5,4,5,5,11,8,2,8,3,13,3,8,4,3,9,6,6
4,陳韋安,無黨籍及未經政黨推薦,17,23,23,20,19,19,18,10,11,16,10,16,20,19,26,17,14,21,15,22,14,25,21,13,10,11,10,22,13,10,8,11,11,15,14,23,17,15,19,17,16,15,23,11,28,16,27,23,15,10
5,許淑華,民主進步黨,537,468,426,394,410,398,346,346,333,349,342,404,472,388,441,405,421,403,400,362,435,502,424,409,406,398,311,344,407,329,333,333,375,367,335,469,416,526,519,471,412,395,448,301,514,434,425,417,387,326
0,選舉人數,-,1457,1174,1236,977,2112,1178,1105,1041,1128,1062,1092,1322,1298,1245,1286,1265,1385,1274,1290,1089,1267,1283,1260,1122,1126,1189,1001,1008,1154,851,945,898,1015,1061,984,1284,1252,1417,1366,1390,1262,1337,1427,798,1334,1156,1249,1313,1115,946
