臺北市 內湖區 投開票所,其他,高嘉瑜,李彥秀
西湖里_1_2_3_4_5_6,0.1974930885471187,0.7519929140832595,0.6627412298360039
西湖里_7_8_9_10_11_12,0.2259245960502693,0.7660897666068223,0.770197486535009
西湖里_13_14_15_16_17_18_19,0.228331751460505,0.7745013009540329,0.6283689800193097
西湖里_20_21_22_23_24_25_26,0.22063023610053312,0.7188868526275705,0.7648514851485149
西湖里_27_28_29_30_31_32_33,0.21302773151452664,0.5631198174143689,0.77119341563786
西康里_1_2_4_5_27,0.21720012640512842,0.7444359171143515,0.7374294614238636
西康里_7_8_9_10_11,0.2166347807821787,0.6137985455495064,0.7642393655371305
西康里_6_14_18,0.19184683055455087,0.6455798107549965,0.7521613832853026
西康里_3_12_13_15_16,0.19953356565466537,0.650786398750601,0.7275300778485492
西康里_17_19_25_26,0.15248121228320874,0.587688005674867,0.7322274881516587
西康里_20_21_22_23_24,0.1247927031509121,0.36477867074882,0.7487562189054726
西安里_1_2_3_4_5_6_7_8_9,0.1769710883592436,0.5510941786625568,0.7792937399678973
西安里_10_11_12_13_14,0.17526958050231553,0.5813107753326798,0.7580409356725146
西安里_15_16_17_18_19,0.2644970185831999,0.7047673723008047,0.7734026745913819
西安里_20_21_22_23,0.17792351501984713,0.6010172279016883,0.7677329624478443
港墘里_1_2_3_4_19_22,0.18055451732025654,0.7239710257598636,0.7397476340694006
港墘里_7_8_9_10_11,0.2038180117731199,0.5873664521098092,0.7689497716894977
港墘里_15_16_17_18_21,0.19625323866886504,0.7581749049429658,0.7179178303442243
港墘里_5_6_12_13_14_20,0.2516759130836801,0.7666435506241333,0.7976190476190477
港都里_1_2_3_4_5,0.18934911242603553,0.7426035502958579,0.75
港都里_6_7_8_9_14,0.23092875170135496,0.7733788395904437,0.7516808360748801
港都里_10_11_12_13,0.2714650825447261,0.7683284457478006,0.6844210565976124
港富里_1_2_3_4_5,0.1968803899786593,0.7412974683544303,0.6659693191452042
港富里_6_7_8_9_10,0.2227303493128513,0.7560283687943262,0.6932874253259174
港富里_12_13_14_15_16,0.22674210603029057,0.6424359670858233,0.7607361963190185
港富里_11_17_18_19_20,0.22371105030820523,0.7398444020907073,0.7526278906797477
港富里_21_22_23_24_25,0.23914912941813052,0.6992072004174155,0.7620345140781108
港富里_26_27_28_29_30,0.20215762529387207,0.7113659833454179,0.7418803418803419
港華里_9_17_19_20_21_22,0.20943933616795254,0.5806525044104615,0.749648382559775
港華里_1_2_10_11_12,0.17320302509293078,0.6711617222351067,0.7635366689513365
