臺北市 內湖區 投開票所,吳欣岱,高嘉瑜,李彥秀
西湖里_1_2_3_4_5_6,0.18609925651555415,0.7519929140832595,0.6627412298360039
西湖里_7_8_9_10_11_12,0.2197630161579892,0.7660897666068223,0.770197486535009
西湖里_13_14_15_16_17_18_19,0.21919848140208478,0.7745013009540329,0.6283689800193097
西湖里_20_21_22_23_24_25_26,0.21327589489718204,0.7188868526275705,0.7648514851485149
西湖里_27_28_29_30_31_32_33,0.19651395387774162,0.5631198174143689,0.77119341563786
西康里_1_2_4_5_27,0.19968398717890842,0.7444359171143515,0.7374294614238636
西康里_7_8_9_10_11,0.1985818823836638,0.6137985455495064,0.7642393655371305
西康里_6_14_18,0.17662089162164998,0.6455798107549965,0.7521613832853026
西康里_3_12_13_15_16,0.1811150826711578,0.650786398750601,0.7275300778485492
西康里_17_19_25_26,0.1350094067090911,0.587688005674867,0.7322274881516587
西康里_20_21_22_23_24,0.1110792192881745,0.36477867074882,0.7487562189054726
西安里_1_2_3_4_5_6_7_8_9,0.1645520646147353,0.5510941786625568,0.7792937399678973
西安里_10_11_12_13_14,0.15774262245208398,0.5813107753326798,0.7580409356725146
西安里_15_16_17_18_19,0.24943073271453658,0.7047673723008047,0.7734026745913819
西安里_20_21_22_23,0.16391378942773316,0.6010172279016883,0.7677329624478443
港墘里_1_2_3_4_19_22,0.16477790901071956,0.7239710257598636,0.7397476340694006
港墘里_7_8_9_10_11,0.18528910161192716,0.5873664521098092,0.7689497716894977
港墘里_15_16_17_18_21,0.18618897001917964,0.7581749049429658,0.7179178303442243
港墘里_5_6_12_13_14_20,0.23618816458622283,0.7666435506241333,0.7976190476190477
港都里_1_2_3_4_5,0.17455621301775148,0.7426035502958579,0.75
港都里_6_7_8_9_14,0.21233046297372904,0.7733788395904437,0.7516808360748801
港都里_10_11_12_13,0.2467864386770237,0.7683284457478006,0.6844210565976124
港富里_1_2_3_4_5,0.1848963662408279,0.7412974683544303,0.6659693191452042
港富里_6_7_8_9_10,0.20390806627232863,0.7560283687943262,0.6932874253259174
港富里_12_13_14_15_16,0.21524069485484107,0.6424359670858233,0.7607361963190185
港富里_11_17_18_19_20,0.20932962564553492,0.7398444020907073,0.7526278906797477
港富里_21_22_23_24_25,0.2188822540437127,0.6992072004174155,0.7620345140781108
港富里_26_27_28_29_30,0.19071474084327555,0.7113659833454179,0.7418803418803419
港華里_9_17_19_20_21_22,0.1935508348034872,0.5806525044104615,0.749648382559775
港華里_1_2_10_11_12,0.1544393640411966,0.6711617222351067,0.7635366689513365
港華里_5_6_7_8,0.18401957618910056,0.7237072408109165,0.770098730606488
港華里_3_14_15_16_18,0.19079777226664385,0.7486263736263736,0.6379345362808397
港華里_4_13_23_24_25,0.23647265282246271,0.7725752508361204,0.6712298281979222
內湖里_1_2_3_4_5_7,0.18772041536050157,0.6648431377351097,0.7258522727272727
內湖里_6_8_10_19_23,0.12908131056061953,0.6373389708930589,0.7276958882854926
內湖里_9_11_15_18_20_21,0.16581125783717846,0.4988041144853963,0.7413544668587896
內湖里_12_13_14_16_17_22_24_25,0.1979265717594169,0.4636741366391935,0.7335740072202166
湖濱里_27_28_29_32_33_34,0.17678935185185185,0.6032430555555555,0.7773333333333333
湖濱里_1_2_3_4_5_6,0.14943745863666447,0.521764686087337,0.7471872931833223
湖濱里_9_21_22_23_24_25_26_30_31,0.20362909148163422,0.6680707864363206,0.7712800519818064
湖濱里_10_11_12_13_14_19_20,0.1369394986416263,0.4354676056803716,0.7723387723387724
湖濱里_7_8_15_16_17_18,0.14092709654131996,0.5325946116042093,0.7540514775977121
紫星里_1_3_9_13_14_15_16_17,0.26150581704437276,0.680564828208647,0.740662438336857
紫星里_2_4_6_7_12_18_19,0.17397197430978398,0.6891317040620569,0.7702060221870047
紫星里_20_21_22_24_25_26_27_35,0.2167533680138722,0.7664399092970522,0.7577697745764973
紫星里_28_29_30_31_32_33_34,0.23408910103420846,0.68985348713869,0.766109785202864
紫星里_5_8_10_11_23_36_37_38_39,0.20516274161297487,0.7043920795378804,0.7659409020217729
大湖里_7_8_9_10_11_12_13,0.17570604434259984,0.5928293366030808,0.7356797791580401
大湖里_14_15_16_17_18_19_20_21_22,0.16328488745369027,0.5924137652245457,0.7637954239569313
大湖里_1_2_3_4_5_6_23_24_25,0.18496937025238913,0.534802744425386,0.7371967654986523
金龍里_1_2_3_4_5_6_7,0.15814818613237364,0.6098086838155086,0.758575197889182
金龍里_8_9_10_11_12_13_14,0.21279315468623763,0.579677904145268,0.7220291869353718
金龍里_15_16_17_18_19_20_21_22_23,0.17494270435446907,0.7070600967659791,0.7653743315508021
金瑞里_1_2_3_4_5_6,0.20029966508020447,0.7697466467958272,0.7250516802076823
金瑞里_7_8_9_23_24,0.18552013396802752,0.6399725551610251,0.7665289256198347
金瑞里_10_11_12_13_14_15_22,0.16259541984732825,0.6774809160305344,0.7045801526717558
金瑞里_16_17_18_19_20_21,0.2004259092558008,0.6428475459834204,0.7809187279151943
碧山里_1_2_3,0.15996499246365536,0.7175572519083969,0.40219769533719063
碧山里_4_5_6_7_8_10,0.18573869115509065,0.5572160734652719,0.7675378266850069
碧山里_9_11_12_13_14,0.17065804983132138,0.5430028858269317,0.7489208633093525
碧山里_15_16_17_18_19,0.18272249174446573,0.63952872110563,0.7072037180480247
碧山里_20_21_22_23_24,0.18273315655917657,0.5841213722489919,0.7590454195535027
紫雲里_1_2_4_7_13_19,0.21720179262078707,0.6783105162993431,0.7406225059856345
紫雲里_10_14_17_18,0.15257860240488863,0.4035950128129312,0.74812734082397
紫雲里_8_9_11_12_15_16_23,0.11296820774661932,0.4330447963620407,0.7421383647798742
紫雲里_3_5_6_20_21_22,0.1537727089114936,0.5350008830879048,0.7576509511993383
清白里_2_3_4_6_7_8_31,0.1605695280426113,0.5179662194922945,0.7368069472277889
清白里_5_9_10_13_25_30,0.1818813254213743,0.5907724254288248,0.7617135207496654
清白里_24_26_27_28_29_32,0.17388620504562532,0.4876109665964738,0.7551282051282051
清白里_15_16_17_18_19_20_22,0.21601180669400305,0.7039005425028719,0.7579034941763727
清白里_1_11_12_14_21_23,0.16608589721797268,0.6595982775228058,0.7545045045045045
葫洲里_1_2_3_4_8,0.168780686869313,0.5213145408947328,0.7309292649098474
葫洲里_5_6_7_9_10_11,0.1596388750472893,0.5709119090674245,0.7481381178063643
葫洲里_12_13_14_15,0.1469508477434587,0.6964857887841011,0.7515923566878981
葫洲里_16_17_18_19_20,0.12894309920086522,0.5506944861703619,0.7535112359550562
紫陽里_2_11_13_18,0.1745778183477864,0.6657918758557736,0.7428115015974441
紫陽里_1_12_14_15,0.16812039312039312,0.6286855036855037,0.745945945945946
紫陽里_3_9_16_17,0.24869870731224206,0.7259313618843822,0.7494569152787834
紫陽里_4_6_7_8_10_22,0.17239076287234126,0.6119872081968115,0.7714486638537271
紫陽里_5_19_20_21,0.1781866880942815,0.5977875987679121,0.7529824561403509
瑞陽里_2_3_4_7_12_15_22,0.10660194174757283,0.40649311853195347,0.7614424410540915
瑞陽里_18_19_25_26_27_28,0.1593715387455388,0.5752553636624687,0.7786438035853468
瑞陽里_6_8_9_10,0.16127793417991498,0.47338060310215796,0.7600969305331179
瑞陽里_11_16_17_20_21_23,0.1914523055382435,0.7294332841007077,0.7772963604852686
瑞陽里_1_5_13_14_24,0.06616783699781283,0.3247125334151926,0.7719580983078163
瑞光里_1_2_3_4_5_6_7,0.1902265525982256,0.6442126108998733,0.7673003802281368
