臺北市 南港區 投開票所,其他,高嘉瑜,李彥秀
南港里_2_3_4_5_6_7,0.22054187046968002,0.6882845188284519,0.6858609817903235
南港里_1_14_15_17_18_19_20,0.18171825083301846,0.6699872900278245,0.7474150664697193
南港里_8_9_10_11_12_13,0.18224251648909184,0.5939756092977808,0.7390946502057614
南港里_16_21_22_23,0.15270527859237537,0.417316715542522,0.5420454545454545
中南里_1_2_3_4_5_6_7_8_9_10,0.2003106667768322,0.7314715359828142,0.6009320003304967
中南里_11_12_13_14_15_16_17,0.13859110586383314,0.6051160960251869,0.7085714285714285
中南里_18_19_20_21_22_23_24,0.2063540432255516,0.6681940447303576,0.729608938547486
三重里_1_2_3_4_5_6_29,0.19155760794612597,0.6937491747238076,0.7386185243328101
三重里_7_8_9_10_26_27_28,0.22377150275884455,0.5684518013631938,0.7128205128205128
三重里_11_12_13_15_16_17_18_30_34,0.1558897817346666,0.578091273932722,0.7161186848436247
三重里_19_20_21_22_24_25,0.19815576981763897,0.5944673094529168,0.7307984790874524
三重里_14_23_31_32_33_35,0.1552552099063727,0.6108954998489883,0.7425249169435216
新富里_1_2_3_4_5,0.1700406773247564,0.6100209299025635,0.7481789802289281
新富里_6_7_8_9_10_11,0.20732761970175143,0.6702922073852741,0.7387304507819688
新富里_12_13_14_15_16_17,0.19253023646399786,0.7434944237918215,0.7025305436930985
中研里_1_2_3_4_5_6_7,0.16196749612627973,0.7013025605467782,0.7129909365558912
中研里_8_9_10_11_12,0.21087410907863477,0.7143122974195195,0.7428087986463621
中研里_23_24_25_26_27_28,0.22603459096672826,0.7534486365557609,0.7689039932030586
中研里_29_30_31_32_33_34_35,0.19648944247887687,0.5941840740561237,0.738800303720577
中研里_13_14_17_18_19,0.1540129839250074,0.5204017667360775,0.7846556233653008
中研里_15_16_20_21_22,0.1687437434818853,0.6733042437940573,0.7585114806017419
九如里_1_2_3_4_5_6,0.1280077062866356,0.5978896525339199,0.700920245398773
九如里_7_12_13_14_15_16_17,0.09991338591770507,0.30090194131029785,0.76793893129771
九如里_8_9_10_11_25_26_27_28,0.16272924815297696,0.5872403302911777,0.6898305084745763
九如里_18_19_20_21_22_23_24,0.17167416535915794,0.4782351749290828,0.7793462109955424
舊莊里_4_5_6_7_12,0.15519689544173096,0.5970329549135976,0.7031369548584545
舊莊里_22_28_29_30_31_32_33_34_35,0.1810453579424701,0.6018081805680255,0.7007125890736342
舊莊里_3_14_16_21,0.1837561041779707,0.6347938144329898,0.7053264604810997
舊莊里_1_8_23_24_25_26,0.1423759175964328,0.505731123962329,0.7074303405572755
舊莊里_2_13_15_17_18_19_20,0.1416786951757108,0.513779883604226,0.7115072933549432
舊莊里_9_10_11_27_36,0.15017661900756937,0.6757947855340622,0.7258536585365853
東新里_1_2_3_4_5,0.1327728927864745,0.6771417532110199,0.726457399103139
東新里_6_7_8_9,0.18610013175230566,0.6274703557312253,0.7509881422924901
東新里_11_12_13_15,0.1715098339102203,0.666549581787447,0.7191719171917191
東新里_14_16_17_18_23,0.1286383018168335,0.514553207267334,0.7652329749103942
東新里_10_19_20_21_22,0.25590621219668397,0.6848537678787447,0.7287234042553191
重陽里_2_3_6_7_9,0.1763613373568818,0.4742489744050603,0.7424960505529226
重陽里_1_4_5_11,0.17005553713527852,0.5837989058355437,0.7293103448275862
重陽里_8_14,0.24525436598329536,0.6898881805717157,0.7745803357314148
重陽里_10_12_13,0.16865417376490632,0.606473594548552,0.7751277683134583
東明里_1_3_4_5,0.17920920552262837,0.7206096474699373,0.7621107266435986
東明里_2_6_7_8_9,0.1785956653917819,0.4907208002353633,0.7511032656663724
東明里_10_11_12_17,0.2484947459428639,0.6912672023501486,0.7070805043646945
東明里_13_14_15_16,0.13576516837892827,0.42730300363473217,0.7388483373884833
西新里_1_2_3_4_5_17,0.17817499960357103,0.7568027210884354,0.6350792065077779
西新里_6_7_8_9_12,0.19894436272389027,0.7543307086614173,0.6349640910270831
西新里_10_11_13_14_15_16,0.1796839984871382,0.7549880287310455,0.5563899251399981
玉成里_1_2_3_6_7_8_11_12_13,0.17591330878075892,0.7404351087771943,0.6620737257748562
玉成里_9_10_17_18_19_20_21,0.19036547050556632,0.6373843878534586,0.7427652733118971
玉成里_4_5_14_15_16,0.2147129603794643,0.7076939174107143,0.76953125
合成里_1_2_10_11_12_13_14,0.23965022263885635,0.6174771502226388,0.7340637450199203
合成里_3_4_25_26,0.187914073479221,0.6360168640835174,0.7372013651877133
合成里_5_6_7_8_9,0.15548608233831782,0.6526799502806132,0.7539267015706806
合成里_15_16_17_18_19_20,0.2176605181257252,0.6571673335719012,0.7408829174664108
合成里_21_22_23_24,0.2227969490217329,0.6620852730362817,0.7293447293447294
新光里_1_2_3_4_5_6,0.15804597701149425,0.5127713920817368,0.7586206896551724
新光里_7_8_9_10_11_12,0.17179680150517404,0.5639416745061148,0.7469426152398871
新光里_13_14_15_16_17_18,0.16642015149477837,0.518219712249563,0.7014925373134329
聯成里_1_2_3_4_5_6,0.13903390031602902,0.4811663412897868,0.7578710644677661
聯成里_7_8_9_10_11_12,0.21893355801636977,0.7365671641791045,0.7195955705344247
聯成里_13_14_15_16_17_18_19,0.16159071290574517,0.6235116396969157,0.7704122877930477
萬福里_3_4_9_10_11_17,0.15630182421227198,0.5623272526257601,0.7761194029850746
萬福里_5_6_7_8_18_19,0.21036884710522658,0.7739257586164756,0.7835757057313943
萬福里_1_2_12_13_14_15_16,0.09930178432893716,0.4099381353066381,0.7944142746314973
鴻福里_1_2_3_5_6_7,0.14544076743565235,0.6041385724250175,0.733596837944664
鴻福里_8_13_14_15_17,0.1561105111591073,0.5833603311735062,0.7608333333333334
