臺北市 南港區 投開票所,吳欣岱,高嘉瑜,李彥秀
南港里_2_3_4_5_6_7,0.20600064824090988,0.6882845188284519,0.6858609817903235
南港里_1_14_15_17_18_19_20,0.16117618769537287,0.6699872900278245,0.7474150664697193
南港里_8_9_10_11_12_13,0.16705564011500085,0.5939756092977808,0.7390946502057614
南港里_16_21_22_23,0.14104838709677417,0.417316715542522,0.5420454545454545
中南里_1_2_3_4_5_6_7_8_9_10,0.18680657688176486,0.7314715359828142,0.6009320003304967
中南里_11_12_13_14_15_16_17,0.12492719401810311,0.6051160960251869,0.7085714285714285
中南里_18_19_20_21_22_23_24,0.1916144687094408,0.6681940447303576,0.729608938547486
三重里_1_2_3_4_5_6_29,0.17257442157308647,0.6937491747238076,0.7386185243328101
三重里_7_8_9_10_26_27_28,0.2021161960402467,0.5684518013631938,0.7128205128205128
三重里_11_12_13_15_16_17_18_30_34,0.13640355901783327,0.578091273932722,0.7161186848436247
三重里_19_20_21_22_24_25,0.1807180620736867,0.5944673094529168,0.7307984790874524
三重里_14_23_31_32_33_35,0.14850498338870433,0.6108954998489883,0.7425249169435216
新富里_1_2_3_4_5,0.1509111011257213,0.6100209299025635,0.7481789802289281
新富里_6_7_8_9_10_11,0.197263172143414,0.6702922073852741,0.7387304507819688
新富里_12_13_14_15_16_17,0.1720482964146364,0.7434944237918215,0.7025305436930985
中研里_1_2_3_4_5_6_7,0.15361865611977046,0.7013025605467782,0.7129909365558912
中研里_8_9_10_11_12,0.18807690809716074,0.7143122974195195,0.7428087986463621
中研里_23_24_25_26_27_28,0.19705579725304517,0.7534486365557609,0.7689039932030586
中研里_29_30_31_32_33_34_35,0.1760545404610737,0.5941840740561237,0.738800303720577
中研里_13_14_17_18_19,0.13942228018474354,0.5204017667360775,0.7846556233653008
中研里_15_16_20_21_22,0.15203644214704518,0.6733042437940573,0.7585114806017419
九如里_1_2_3_4_5_6,0.12176342793118995,0.5978896525339199,0.700920245398773
九如里_7_12_13_14_15_16_17,0.08481019967433105,0.30090194131029785,0.76793893129771
九如里_8_9_10_11_25_26_27_28,0.15211647109952195,0.5872403302911777,0.6898305084745763
九如里_18_19_20_21_22_23_24,0.1539617514728956,0.4782351749290828,0.7793462109955424
舊莊里_4_5_6_7_12,0.142527761119957,0.5970329549135976,0.7031369548584545
舊莊里_22_28_29_30_31_32_33_34_35,0.1676345906874723,0.6018081805680255,0.7007125890736342
舊莊里_3_14_16_21,0.16519488153373124,0.6347938144329898,0.7053264604810997
舊莊里_1_8_23_24_25_26,0.1275450928468044,0.505731123962329,0.7074303405572755
舊莊里_2_13_15_17_18_19_20,0.13389415148473766,0.513779883604226,0.7115072933549432
舊莊里_9_10_11_27_36,0.1314045416316232,0.6757947855340622,0.7258536585365853
東新里_1_2_3_4_5,0.12328911473029773,0.6771417532110199,0.726457399103139
東新里_6_7_8_9,0.1712779973649539,0.6274703557312253,0.7509881422924901
東新里_11_12_13_15,0.15202008005678616,0.666549581787447,0.7191719171917191
東新里_14_16_17_18_23,0.12533988382153008,0.514553207267334,0.7652329749103942
東新里_10_19_20_21_22,0.23397139400839678,0.6848537678787447,0.7287234042553191
重陽里_2_3_6_7_9,0.15709497277167625,0.4742489744050603,0.7424960505529226
重陽里_1_4_5_11,0.15953663793103448,0.5837989058355437,0.7293103448275862
重陽里_8_14,0.22055248739504976,0.6898881805717157,0.7745803357314148
重陽里_10_12_13,0.1567291311754685,0.606473594548552,0.7751277683134583
東明里_1_3_4_5,0.15657225324608584,0.7206096474699373,0.7621107266435986
東明里_2_6_7_8_9,0.16357360007845442,0.4907208002353633,0.7511032656663724
東明里_10_11_12_17,0.214609098768837,0.6912672023501486,0.7070805043646945
